Year,Week,DateId,Team,Opp,Position,Player,PassAtt,PassCom,PassYds,PassTD,PassINT,Pass300,RushAtt,RushYds,RushTD,Rush100,RecCatches,RecYds,RecTD,Rec100,FumL,TwoPT,DefYardsTotal,DefPointsTotal,DefSk,DefINT,DefFF,DefFR,DefTD,DefSft,DefBlk,DefReturnTD,FantasyPointsDraftKings,FantasyPointsFanDuel
2019,17,20191229,SF,@ SEA,RB,Tevin Coleman,0,0,0,0,0,0,6.6,26.4,0.2,0,0.9,6.48,0.05,0,0.05,0.01,0,0,0,0,0,0,0,0,0,0,5.7,5.2
2019,17,20191229,SF,@ SEA,TE,Daniel Helm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,SF,@ SEA,TE,George Kittle,0,0,0,0,0,0,0,0,0,0,5.9,70.51,0.47,0.26,0.06,0.02,0,0,0,0,0,0,0,0,0,0,16.5,12.7
2019,17,20191229,SF,@ SEA,TE,Levine Toilolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,SF,@ SEA,TE,Ross Dwelley,0,0,0,0,0,0,0,0,0,0,0.2,2.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4
2019,17,20191229,SF,@ SEA,WR,Dante Pettis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,SF,@ SEA,WR,Deebo Samuel,0,0,0,0,0,0,1.3,8.45,0.04,0,3.7,45.14,0.34,0.05,0.04,0,0,0,0,0,0,0,0,0,0,0,11.4,9.4
2019,17,20191229,SF,@ SEA,WR,Emmanuel Sanders,0,0,0,0,0,0,0.2,1,0,0,4,51.2,0.37,0.09,0.04,0,0,0,0,0,0,0,0,0,0,0,11.7,9.4
2019,17,20191229,SF,@ SEA,WR,Jordan Matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,SF,@ SEA,WR,Kendrick Bourne,0,0,0,0,0,0,0,0,0,0,2,23.06,0.22,0,0.02,0,0,0,0,0,0,0,0,0,0,0,5.6,4.6
2019,17,20191229,SF,@ SEA,WR,Richard James,0,0,0,0,0,0,0,0,0,0,0.3,3.6,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.6
2019,17,20191229,TB,vs ATL,D,Tampa Bay Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.68,23.75,2.7,0.75,1.35,0.59,0.19,0.04,0.07,0.04,7,7
2019,17,20191229,SEA,vs SF,QB,Geno Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,SF,@ SEA,QB,CJ Beathard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,SF,@ SEA,QB,Nick Mullens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,TB,vs ATL,RB,Dare Ogunbowale,0,0,0,0,0,0,1,3.7,0.01,0,2.7,20.52,0.09,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,5.7,4.3
2019,17,20191229,TB,vs ATL,RB,Peyton Barber,0,0,0,0,0,0,8.2,30.34,0.25,0,1.3,9.04,0.05,0,0.07,0.02,0,0,0,0,0,0,0,0,0,0,7,6.3
2019,17,20191229,TB,vs ATL,RB,Ronald Jones,0,0,0,0,0,0,11.8,44.84,0.32,0.03,3,23.7,0.11,0,0.11,0.03,0,0,0,0,0,0,0,0,0,0,12.5,10.8
2019,17,20191229,TB,vs ATL,TE,Cameron Brate,0,0,0,0,0,0,0,0,0,0,2.9,28.57,0.26,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0,7.3,5.8
2019,17,20191229,TB,vs ATL,TE,Jordan Leggett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,TB,vs ATL,TE,OJ Howard,0,0,0,0,0,0,0,0,0,0,3.6,42.91,0.33,0.04,0.03,0.02,0,0,0,0,0,0,0,0,0,0,10,8.1
2019,17,20191229,TB,vs ATL,TE,Tanner Hudson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
